X,Y
288075.4643,4601625.063
315966.2147,4611784.9372
347348.6149,4613312.8914
358222.4382,4614165.5302
359545.6704,4612865.7882
368029.975,4609097.778
390017.1609,4605387.7454
398172.1918,4603841.5011
404844.106,4599075.0531
416250.5113,4586903.1977
418212.2371,4581992.9452
418357.2645,4581610.1835
420910.1949,4578514.6093
421572.3917,4577957.0834
482112.6705,4637914.437
3401992.722,4612186.153
3446117.802,4613692.82
372486.608,4609908.13
377596.997,4607497.09
392583.63,398125.43
469350.7325,4673731.6494
465013.4415,4674490.4635
459874.5197,4671345.1376
350173.855,4554774.22
353955.954,4553910.19
314193.063,4597410.03
322646.8217,4594213.2192
328363.0936,4588026.5763
415032.9514,4589797.3114
316129.9581,4530495.3699
306362.5573,4520525.2386
287807.9259,4500403.1281
4596258.74,4599775
284584.5034,4495462.6249
42552972,457695385
42552972,457695385
424093.9879,4604619.0056
428677.0563,4598194.5509
434024.962,4589951.1375
436932.6446,4591016.7071
422297.7252,4580901.5425
420919.5511,4580638.4525
418247.678,4583414.3171
417233.273,4585605.8182
422250.5486,4603772.6483
440709.545,4611377.8301
436049.6741,4609577.8126
423746.662,4586776.2006
397079.4715,4567120.9425
432697.3047,4593204.9727
434454.5401,4596194.364
289333.3487,4517601.7632
290447.7891,4524011.1347
288571.4088,4532262.7117
301949.343,4553805.5436
297635.3384,4592301.1761
304069.9802,4612308.7482
305217.689,4614547.973
318208.3648,4625837.0519
327187.8938,4672636.9164
342393.3527,4554729.6682
344595.52,4563143.1045
346984.4757,4568676.065
348022.8564,4575150.5971
352429.7821,4642218.4377
361001.94,4669817.66
361950.4769,4673852.6345
355601.02,4644575.33
358723.27,4652272.56
364032.2748,4632295.0243
377177.3594,4619670.785
378194.2605,4618295.2951
376898.1227,4609616.0215
416602.7865,4587512.046
390537.3159,4586164.1216
433991.7394,4602785.5477
437636.2061,4604241.5423
405612.0959,4619985.2197
405626.9166,4620078.8097
407779.8809,4630743.1599
406266.5108,4635000.578
406943.7778,4643692.9264
406181.7514,4658812.4156
406949.9661,4675101.775
421962.85,4592099.73
42617478,42412504
42412417,42617608
422239.424,4588701.73
433511.4949,4595701.5204
43952336,461854323
437166.77,4626179.41
437081.3222,4626250.1506
4374322.16,4602628.76
4385430.2,4605850.68
462228682,462463775
462473824,462230358
389554.9455,4590264.9155
415782.1745,4571600.2475
381882.768,4622483.0436
397616.0611,4620993.8419
409435.0323,4626644.631
423042.143,4638449.8361
437481.0071,4645269.7471
475951.9801,4636485.5516
444677.886,4609388.4769
451407.5684,4610959.1482
304277.9467,4631579.7865
322521.0499,4630903.3371
365237.5392,4653719.8283
379276.6402,4562675.9807
419649.024,4569429.5948
420306.1678,4569795.8504
421897.6007,4573803.9045
424160.0531,4576297.5112
502848.2412,4628498.7251
506048.2261,4633762.929
513382.1074,4642973.2076
501429.3947,4674060.9365
390209.4801,4566041.893
395418.3108,4563063.928
436200.62,4588806.26
438268.61,4590151.15
505571.214,4665205.7314
349195.4026,4552005.4724
383101.2592,4563077.4023
417804.2426,4572258.6232
418919.8159,4573780.1071
420065.9683,4575184.4306
441144.0836,4592656.0677
416219.5211,4571061.1534
431805.2737,4591941.6875
437748.0728,4602467.2587
455143.8648,4612353.072
469423.4277,4621685.1182
486476.2004,4627780.5482
350373.1619,4570128.2215
388195.1945,4608871.1446
445833.3295,4678140.4147
326633.1186,4624618.9161
407186.1424,4599439.5859
404095.3944,4608246.783
404842.8884,4611245.522
403614.3501,4617001.8202
403136.3598,4618374.886
399325.0755,4625170.2554
393280.7319,4636478.5088
385702.6327,4643411.9371
429018.1957,4594098.802
425978.2796,4595230.7068
422161.4057,4599453.4423
413667.6323,4602052.4408
413336.9217,4603364.8153
411286.8246,4604156.8321
410707.3241,4604213.8366
409615.2051,4604564.3754
404922.4974,4608462.2671
431016.9542,4590851.6618
430117.9586,4591611.6698
431651.1329,4606363.011
430586.5005,4610215.5951
430495.2255,4613536.7009
425430.4469,4627928.7316
460110597,460488471
460489385,460111091
449661.9873,4601946.1775
449642.4576,4601990.5677
484678.8653,4620882.301
484708.9705,4621563.472
481508.1632,4625218.0519
475249.2941,4631878.1998
496718.9278,4630624.1549
487763.5733,4639764.867
491560.251,4630781.2643
507365.9791,4644431.7155
484527.0203,4657157.8086
484538.9406,4657195.5285
478731.2685,4669966.3924
500129.712,4650277.23
494075.533,4654309.28
475965.9243,4618576.1137
462083.251,4627570.103
497889.6735,4664082.7179
480488.9538,4613636.6717
492076.52,4618674.9116
323847.8172,4609191.2134
347869.068,4617569.9541
353346.2938,4623803.8822
477245.6861,4646235.9969
429621.3494,4593144.6159
420960.7537,4600745.8534
479265.9324,4621613.1734
492010.6676,4664496.9732
494684.8996,4683994.2631
483604.6249,4642138.3423
486592.0509,4644957.324
487234.2693,4647248.3227
487414.9898,4649912.3254
467654430,468222495
468220401,467652113
491128.912,4691568.36
490410.423,4693173.37
298149.421,4634710.7079
311797.6536,4703431.3409
314760.3827,4746198.8947
317874.8907,4726856.4111
316648.4692,4721631.6623
353265.0658,4568730.0474
343837.6775,4584065.8827
331719.3681,4587928.5107
319417.9559,4600695.6738
312718.4409,4605366.9119
284618.0636,4625958.907
506187.8932,4686070.469
485661.693,4674417.5067
430349.2641,4684551.9621
396895.6486,4691976.4875
388672.1809,4691320.2688
368542.9415,4687612.9058
293575.4801,4497139.5093
296786.2948,4511600.0174
302522.9504,4516441.6114
307529.7464,4526754.8094
321723.1921,4537789.3188
330992.4066,4545709.5307
365124.3198,4557612.8102
383689.8953,4570358.2391
388278.8696,4576568.4339
404444.5445,4583141.1314
416201.4502,4584119.6137
296368.2751,4502502.5464
295760.707,4506827.5578
303211.7925,4552161.2115
327829.2592,4559879.9667
331187.7979,4559016.8699
344542.4021,4555531.4931
294125.297,4608643.108
445311.1012,4592808.8463
450701.3523,4595809.0901
455221.6057,4599284.7912
463554.9793,4603322.1142
469539.2285,4605955.1129
338607.0995,4557711.3315
340787.5854,4555404.3314
338692.1202,4556477.759
333158.636,4554406.3878
354945.9042,4557627.6774
378734.5682,4569110.5648
340194.8559,4554277.8842
